subset,relationship,c,n_valid,pearson_r,pearson_p,spearman_rho,spearman_p,slope,intercept,r2
control_only,S_full vs total_flux,0.001,28.0,0.8458082459598604,1.4529371682547819e-08,0.8451012588943623,1.5354674255319797e-08,17.099258207966272,75.85691577327464,0.7153915889336957
control_only,S_full vs total_flux,0.0025,29.0,0.8157747930856571,6.965777676012164e-08,0.824630541871921,3.788076256745082e-08,18.27184094516266,54.762928992549405,0.6654885130339465
control_only,S_full vs total_flux,0.005,28.0,0.8478623342364546,1.2355328238821746e-08,0.8762999452654625,9.926292693367841e-10,18.635395897010323,50.97706990543065,0.7188705378168894
control_only,S_full vs total_flux,0.0075,29.0,0.7775417678085346,6.959965426408463e-07,0.7980295566502461,2.1536746921636076e-07,18.748849171565784,67.56512227281291,0.6045712006868215
control_only,S_full vs total_flux,0.01,29.0,0.7754488864295399,7.792014581094274e-07,0.8009852216748766,1.7985816418808696e-07,19.617216183172275,63.21352770617284,0.6013209754648134
control_only,S_full vs total_flux,0.015,28.0,0.7774160852971008,1.1340893856783762e-06,0.8078817733990148,2.0165678563422566e-07,21.30426351335178,49.588574917266214,0.6043757696786694
control_only,S_full vs total_flux,0.02,27.0,0.7695526583684861,2.7060794464884263e-06,0.793040293040293,8.104509343266653e-07,23.042829581021035,44.96072451385396,0.5922112940020039
control_only,S_full vs total_flux,0.03,28.0,0.7519299324107185,3.963142748278336e-06,0.8133552271483305,1.4317140785503235e-07,26.011981515296533,-16.412322634209545,0.5653986232551872
control_only,S_full vs total_flux,0.05,29.0,0.7700396682831933,1.0376261355320265e-06,0.8334975369458125,1.9880734902615305e-08,34.42329257947479,-199.42476772933514,0.5929610907296903
control_only,S_het vs dominant_real_eigenvalue,0.001,29.0,-0.5495422009678144,0.002016288506988115,-0.38768472906403934,0.03771209265468036,-1.4406428777518226e-07,-2.002420074019049e-05,0.3019966306445497
control_only,S_het vs dominant_real_eigenvalue,0.0025,28.0,-0.3523231232694433,0.0659466189414157,-0.2835249042145594,0.14372234916133209,-2.118801080967898e-07,-3.207657523194802e-05,0.1241315831903353
