c,network_id,pair_id,Location,Site,Management,Treatment,total_flux,S_full,S_het,S_Ftot,dominant_real_eigenvalue,reactivity
0.0075,Yo_S1_Ex_C_d0,Yo_S1_Ex,Yo,S1,Ex,C,541.4048326893574,31.021000104413496,-117.61735093172453,151.0600152821492,-1.634821141239777e-05,0.11849011143144289
0.0075,Yo_S1_Ex_D_d0,Yo_S1_Ex,Yo,S1,Ex,D,525.792579754434,37.835975169306295,-108.64197592403404,150.3577631975898,-2.6494345723838976e-05,0.11645540130364326
0.0075,Yo_S1_In_C_d0,Yo_S1_In,Yo,S1,In,C,351.69174195454417,26.176735949247036,-110.32457763643238,140.7061214120684,-1.614967860846965e-05,0.11555670374489657
0.0075,Yo_S1_In_D_d0,Yo_S1_In,Yo,S1,In,D,547.2255945614648,39.95663881377253,-110.42326706660114,151.31666733363295,-3.9542728328015305e-05,0.12028962762639057
0.0075,Yo_S2_Ex_C_d0,Yo_S2_Ex,Yo,S2,Ex,C,453.6672121400669,24.11945833419701,-112.85258999228512,146.81673399236854,-3.332297507482968e-05,0.13910204333022852
0.0075,Yo_S2_Ex_D_d0,Yo_S2_Ex,Yo,S2,Ex,D,379.4285418487495,32.9995154143527,-106.41762639862387,142.52799080597137,-3.234813121571777e-05,0.13397802514788845
0.0075,Yo_S2_In_C_d0,Yo_S2_In,Yo,S2,In,C,377.7998435682323,24.00557840858592,-115.48893939470992,142.42474898418212,-2.313305133977513e-05,0.13360878690854708
0.0075,Yo_S2_In_D_d0,Yo_S2_In,Yo,S2,In,D,237.13695387279895,26.371511049847815,-104.34941570465519,131.247308128271,-3.139915902795359e-05,0.13935054105321762
0.0075,Yo_S3_Ex_C_d0,Yo_S3_Ex,Yo,S3,Ex,C,462.12060569109514,34.33345484725635,-117.96892425495314,147.259821799037,-1.1724285267665967e-05,0.10997754078079297
0.0075,Yo_S3_Ex_D_d0,Yo_S3_Ex,Yo,S3,Ex,D,725.1185515541474,53.711420502543874,-101.9077694149949,158.07204386092482,-4.392471608755987e-05,0.12029438246912225
0.0075,Yo_S3_In_D_d0,Yo_S3_In,Yo,S3,In,D,374.5246692604852,31.499986861874312,-107.39512336467979,142.2157841594984,-7.304823968682144e-05,0.12908349980495645
0.0075,Yo_S4_Ex_C_d0,Yo_S4_Ex,Yo,S4,Ex,C,606.3047635665222,42.25823840051734,-108.4747559001352,153.77718647587568,-3.417863781184456e-05,0.13511385421876923
0.0075,Yo_S4_Ex_D_d0,Yo_S4_Ex,Yo,S4,Ex,D,474.12658262533785,34.37589577057254,-108.81127194866679,147.87538411188578,-3.2764453070678454e-05,0.11695654969897767
